stock_id,stock_name,shares,weight,amount
2330,台積電,3418000.0,9.07,6494200000.0
2383,台光電,2109000.0,6.96,4987785000.0
2308,台達電,3616000.0,6.74,4827360000.0
3017,奇鋐,2502000.0,6.36,4553640000.0
3665,貿聯-KY,2193848.0,5.28,3784387800.0
2345,智邦,2660000.0,5.27,3777200000.0
6669,緯穎,787000.0,4.64,3321140000.0
6223,旺矽,1139000.0,4.52,3240455000.0
3653,健策,973000.0,4.27,3055220000.0
3037,欣興,5952000.0,3.74,2678400000.0
6274,台燿,4965000.0,3.51,2512290000.0
2368,金像電,2947000.0,3.03,2168992000.0
2327,國巨*,7937000.0,2.96,2123147500.0
8046,南電,4559000.0,2.93,2101699000.0
6805,富世達,1124000.0,2.69,1927660000.0
3661,世芯-KY,568000.0,2.59,1857360000.0
8210,勤誠,1806000.0,2.34,1679580000.0
8299,群聯,871000.0,2.19,1567800000.0
6510,精測,359000.0,1.81,1294195000.0
2449,京元電子,4055000.0,1.67,1196225000.0
6515,穎崴,236000.0,1.57,1126900000.0
5274,信驊,104000.0,1.38,990080000.0
6139,亞翔,1689000.0,1.28,913749000.0
6488,環球晶,1694000.0,1.11,797027000.0
2404,漢唐,567000.0,0.87,623700000.0
3211,順達,1565000.0,0.7,502365000.0
4979,華星光,1219000.0,0.68,487600000.0
8358,金居,1864000.0,0.66,472524000.0
3711,日月光投控,1237000.0,0.61,437279500.0
1802,台玻,5996000.0,0.51,362758000.0
2454,聯發科,201000.0,0.5,356775000.0
6191,精成科,3378000.0,0.47,334422000.0
3376,新日興,1395000.0,0.38,269235000.0
3324,雙鴻,156000.0,0.21,152568000.0
1319,東陽,1499000.0,0.2,140156500.0
2002,中鋼,4924000.0,0.13,95033200.0
3217,優群,353000.0,0.08,55597500.0
3008,大立光,5000.0,0.02,11800000.0
2059,川湖,2000.0,0.01,6640000.0
2357,華碩,3000.0,0.0,1554000.0
8996,高力,1000.0,0.0,777000.0
1815,富喬,2000.0,0.0,216000.0
2439,美律,3000.0,0.0,246300.0
1326,台化,2000.0,0.0,87800.0
3533,嘉澤,2000.0,0.0,3170000.0
3045,台灣大,3000.0,0.0,322500.0
5536,聖暉*,2000.0,0.0,1376000.0
2313,華通,2000.0,0.0,410000.0
1303,南亞,2000.0,0.0,164800.0
3583,辛耘,3000.0,0.0,1080000.0
